hour,node,node_name,technology,user_data
0,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
0,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.36
0,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.43
0,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.53
0,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.92
0,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.83
0,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.41
0,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.49
0,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.45
1,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.51
1,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.38
1,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.46
1,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
1,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.92
1,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.84
1,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
1,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
1,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.46
2,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.54
2,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.4
2,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.48
2,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.58
2,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.93
2,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.85
2,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.45
2,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.53
2,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.48
3,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.57
3,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.42
3,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.52
3,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.61
3,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.94
3,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
3,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.48
3,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.55
3,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.5
4,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.6
4,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.43
4,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.55
4,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.64
4,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
4,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
4,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.5
4,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
4,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.51
5,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.61
5,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.44
5,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.56
5,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.65
5,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
5,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
5,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.5
5,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
5,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.52
6,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.61
6,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.44
6,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.56
6,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.66
6,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.94
6,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
6,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.5
6,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
6,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.51
7,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.58
7,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.43
7,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.54
7,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.65
7,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.93
7,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.85
7,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.48
7,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.56
7,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.48
8,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.55
8,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.41
8,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.51
8,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.62
8,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
8,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
8,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.46
8,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.54
8,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.43
9,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.51
9,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
9,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.48
9,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.59
9,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.88
9,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.79
9,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.44
9,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
9,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.38
10,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.48
10,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.37
10,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.45
10,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
10,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.86
10,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.76
10,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.41
10,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.49
10,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.33
11,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.46
11,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.36
11,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.42
11,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.53
11,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.84
11,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.74
11,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.39
11,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.47
11,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.3
12,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.44
12,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
12,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.41
12,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.52
12,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.83
12,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.73
12,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
12,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.46
12,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.29
13,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.43
13,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.35
13,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.4
13,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
